,date,open,high,low,close
1056,2016-04-05,16127.45,16147.15,15659.75,15695.0
1057,2016-04-06,15750.15,15768.55,15578.55,15636.95
1058,2016-04-07,15668.95,15726.6,15458.05,15530.75
1059,2016-04-08,15519.3,15642.7,15483.05,15568.35
1060,2016-04-11,15623.35,15853.85,15440.25,15818.5
1061,2016-04-12,15809.1,15958.8,15794.15,15880.2
1062,2016-04-13,16087.95,16349.7,16080.55,16278.55
1063,2016-04-18,16328.7,16330.55,16011.9,16222.7
1064,2016-04-20,16299.5,16386.35,16160.55,16349.7
1065,2016-04-21,16526.55,16769.55,16526.55,16637.15
1066,2016-04-22,16641.05,16755.85,16549.1,16703.4
1067,2016-04-25,16746.95,16767.9,16605.0,16678.65
1068,2016-04-26,16647.75,17029.85,16572.0,17002.55
1069,2016-04-27,16869.35,16995.0,16827.35,16872.95
1070,2016-04-28,16885.8,17023.35,16692.7,16716.9
1071,2016-04-29,16712.95,16841.3,16527.55,16795.0
1072,2016-05-02,16614.0,16674.15,16519.55,16543.0
1073,2016-05-03,16570.75,16719.4,16358.4,16388.7
1074,2016-05-04,16320.1,16465.6,16250.5,16274.25
1075,2016-05-05,16292.4,16398.25,16193.7,16281.0
1076,2016-05-06,16264.45,16346.25,16186.25,16296.6
1077,2016-05-09,16357.0,16712.9,16357.0,16686.1
1078,2016-05-10,16710.05,16812.2,16613.9,16784.95
1079,2016-05-11,16544.25,16861.95,16518.75,16754.45
1080,2016-05-12,16881.25,16962.0,16779.5,16923.7
1081,2016-05-13,16891.7,16891.7,16594.55,16716.9
1082,2016-05-16,16744.15,16780.05,16431.65,16737.55
1083,2016-05-17,16818.4,16903.35,16738.7,16762.75
1084,2016-05-18,16671.7,16759.05,16556.6,16728.95
1085,2016-05-19,16725.45,16726.15,16535.75,16565.25
1086,2016-05-20,16600.8,16623.2,16455.4,16481.45
1087,2016-05-23,16560.15,16604.15,16368.0,16407.55
1088,2016-05-24,16422.35,16501.05,16368.6,16456.65
1089,2016-05-25,16600.65,17025.85,16599.05,16997.45
1090,2016-05-26,17037.6,17424.05,16971.35,17359.3
1091,2016-05-27,17348.35,17543.3,17327.65,17511.8
1092,2016-05-30,17580.85,17666.05,17484.8,17520.65
1093,2016-05-31,17615.1,17648.25,17462.2,17620.9
1094,2016-06-01,17670.85,17670.85,17392.85,17423.45
1095,2016-06-02,17405.15,17596.4,17350.45,17567.8
1096,2016-06-03,17657.2,17762.05,17649.05,17680.8
1097,2016-06-06,17710.45,17754.15,17636.9,17671.4
1098,2016-06-07,17796.55,18000.95,17713.35,17948.15
1099,2016-06-08,17976.25,17995.8,17855.2,17946.8
1100,2016-06-09,17955.8,17986.15,17801.55,17887.7
1101,2016-06-10,17830.2,18051.5,17815.25,17828.6
1102,2016-06-13,17620.55,17666.55,17527.55,17593.95
1103,2016-06-14,17698.95,17719.85,17575.95,17672.4
1104,2016-06-15,17746.05,17943.65,17659.6,17917.9
1105,2016-06-16,17827.6,17827.6,17545.8,17671.3
1106,2016-06-17,17772.3,17843.15,17590.75,17696.05
1107,2016-06-20,17425.8,17779.0,17425.8,17718.6
1108,2016-06-21,17761.65,17763.3,17585.65,17619.1
1109,2016-06-22,17610.1,17755.25,17518.15,17626.05
1110,2016-06-23,17630.8,17907.5,17611.0,17892.45
1111,2016-06-24,17213.85,17459.2,16946.35,17426.05
1112,2016-06-27,17346.3,17611.2,17346.3,17514.95
1113,2016-06-28,17497.0,17626.7,17481.5,17561.55
1114,2016-06-29,17643.65,17728.95,17580.5,17689.9
1115,2016-06-30,17825.3,17975.05,17795.9,17935.4
1116,2016-07-01,18019.7,18074.95,17955.3,17985.65
1117,2016-07-04,18091.75,18146.35,18054.8,18097.65
1118,2016-07-05,18122.4,18124.1,17989.6,18004.25
1119,2016-07-07,18036.3,18146.55,17997.1,18084.9
1120,2016-07-08,18078.05,18079.2,17910.9,18016.25
1121,2016-07-11,18268.15,18409.45,18243.3,18390.95
1122,2016-07-12,18527.85,18684.45,18464.15,18667.6
1123,2016-07-13,18704.9,18711.6,18546.25,18618.95
1124,2016-07-14,18633.5,18880.9,18580.2,18863.75
1125,2016-07-15,18887.9,19016.1,18772.45,18953.65
1126,2016-07-18,18998.3,19158.0,18885.0,18923.4
1127,2016-07-19,18970.15,19030.05,18833.6,18905.15
