id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,StPrice1,StPrice2,StPriceCombine
5901,CDS,cde_fo,GBPINR,8192,OPTCUR,CE,108.5,GBPINR28APRIL23108.5CE,GBPINR23428108.5CE,GBPINR 28APR23 108.5 CE,28-04-2023,1,0.0025,108,5,108.5
5902,CDS,cde_fo,GBPINR,8193,OPTCUR,PE,108.5,GBPINR28APRIL23108.5PE,GBPINR23428108.5PE,GBPINR 28APR23 108.5 PE,28-04-2023,1,0.0025,108,5,108.5
5903,CDS,cde_fo,GBPINR,8194,OPTCUR,CE,108.5,GBPINR04MAY23108.5CE,GBPINR23504108.5CE,GBPINR 04MAY23 108.5 CE,04-05-2023,1,0.0025,108,5,108.5
5904,CDS,cde_fo,GBPINR,8195,OPTCUR,PE,108.5,GBPINR04MAY23108.5PE,GBPINR23504108.5PE,GBPINR 04MAY23 108.5 PE,04-05-2023,1,0.0025,108,5,108.5
5905,CDS,cde_fo,GBPINR,8196,OPTCUR,PE,98,GBPINR26MAY2398PE,GBPINR2352698PE,GBPINR 26MAY23 98 PE,26-05-2023,1,0.0025,98,,98
5906,CDS,cde_fo,GBPINR,8197,OPTCUR,CE,108.5,GBPINR12MAY23108.5CE,GBPINR23512108.5CE,GBPINR 12MAY23 108.5 CE,12-05-2023,1,0.0025,108,5,108.5
5907,CDS,cde_fo,GBPINR,8198,OPTCUR,PE,108.5,GBPINR12MAY23108.5PE,GBPINR23512108.5PE,GBPINR 12MAY23 108.5 PE,12-05-2023,1,0.0025,108,5,108.5
5908,CDS,cde_fo,GBPINR,8199,OPTCUR,CE,108.5,GBPINR19MAY23108.5CE,GBPINR23519108.5CE,GBPINR 19MAY23 108.5 CE,19-05-2023,1,0.0025,108,5,108.5
5909,CDS,cde_fo,GBPINR,8200,OPTCUR,PE,108.5,GBPINR19MAY23108.5PE,GBPINR23519108.5PE,GBPINR 19MAY23 108.5 PE,19-05-2023,1,0.0025,108,5,108.5
5910,CDS,cde_fo,GBPINR,8201,OPTCUR,CE,108.5,GBPINR26MAY23108.5CE,GBPINR23526108.5CE,GBPINR 26MAY23 108.5 CE,26-05-2023,1,0.0025,108,5,108.5
5911,CDS,cde_fo,GBPINR,8202,OPTCUR,PE,108.5,GBPINR26MAY23108.5PE,GBPINR23526108.5PE,GBPINR 26MAY23 108.5 PE,26-05-2023,1,0.0025,108,5,108.5
5912,CDS,cde_fo,GBPINR,8203,OPTCUR,CE,108.5,GBPINR29MAY23108.5CE,GBPINR23MAY108.5CE,GBPINR 29MAY23 108.5 CE,29-05-2023,1,0.0025,108,5,108.5
5913,CDS,cde_fo,GBPINR,8204,OPTCUR,PE,108.5,GBPINR29MAY23108.5PE,GBPINR23MAY108.5PE,GBPINR 29MAY23 108.5 PE,29-05-2023,1,0.0025,108,5,108.5
5914,CDS,cde_fo,GBPINR,8205,OPTCUR,CE,106,GBPINR26MAY23106CE,GBPINR23526106CE,GBPINR 26MAY23 106 CE,26-05-2023,1,0.0025,106,,106
5915,CDS,cde_fo,GBPINR,8206,OPTCUR,PE,106,GBPINR26MAY23106PE,GBPINR23526106PE,GBPINR 26MAY23 106 PE,26-05-2023,1,0.0025,106,,106
5916,CDS,cde_fo,GBPINR,8207,OPTCUR,CE,108.5,GBPINR02JUNE23108.5CE,GBPINR23602108.5CE,GBPINR 02JUN23 108.5 CE,02-06-2023,1,0.0025,108,5,108.5
5917,CDS,cde_fo,GBPINR,8208,OPTCUR,PE,108.5,GBPINR02JUNE23108.5PE,GBPINR23602108.5PE,GBPINR 02JUN23 108.5 PE,02-06-2023,1,0.0025,108,5,108.5
5918,CDS,cde_fo,GBPINR,8209,OPTCUR,CE,108.5,GBPINR09JUNE23108.5CE,GBPINR23609108.5CE,GBPINR 09JUN23 108.5 CE,09-06-2023,1,0.0025,108,5,108.5
5919,CDS,cde_fo,GBPINR,8210,OPTCUR,PE,108.5,GBPINR09JUNE23108.5PE,GBPINR23609108.5PE,GBPINR 09JUN23 108.5 PE,09-06-2023,1,0.0025,108,5,108.5
5920,CDS,cde_fo,USDINR,8211,OPTCUR,CE,76.5,USDINR27DECEMBER2376.5CE,USDINR23DEC76.5CE,USDINR 27DEC23 76.5 CE,27-12-2023,1,0.0025,76,5,76.5
5921,CDS,cde_fo,USDINR,8212,OPTCUR,PE,76.5,USDINR27DECEMBER2376.5PE,USDINR23DEC76.5PE,USDINR 27DEC23 76.5 PE,27-12-2023,1,0.0025,76,5,76.5
5922,CDS,cde_fo,EURINR,8213,OPTCUR,CE,95,EURINR29MAY2395CE,EURINR23MAY95CE,EURINR 29MAY23 95 CE,29-05-2023,1,0.0025,95,,95
5923,CDS,cde_fo,EURINR,8214,OPTCUR,PE,95,EURINR29MAY2395PE,EURINR23MAY95PE,EURINR 29MAY23 95 PE,29-05-2023,1,0.0025,95,,95
5924,CDS,cde_fo,GBPUSD,8215,OPTCUR,PE,1.305,GBPUSD28MARCH241.305PE,GBPUSD24MAR1.305PE,GBPUSD 28MAR24 1.305 PE,28-03-2024,1,0.0001,1,305,1.305
5925,CDS,cde_fo,GBPUSD,8216,OPTCUR,CE,1.31,GBPUSD28MARCH241.31CE,GBPUSD24MAR1.31CE,GBPUSD 28MAR24 1.31 CE,28-03-2024,1,0.0001,1,31,1.31
5926,CDS,cde_fo,GBPINR,8217,OPTCUR,CE,108.5,GBPINR16JUNE23108.5CE,GBPINR23616108.5CE,GBPINR 16JUN23 108.5 CE,16-06-2023,1,0.0025,108,5,108.5
5927,CDS,cde_fo,GBPINR,8218,OPTCUR,PE,108.5,GBPINR16JUNE23108.5PE,GBPINR23616108.5PE,GBPINR 16JUN23 108.5 PE,16-06-2023,1,0.0025,108,5,108.5
5928,CDS,cde_fo,GBPINR,8219,OPTCUR,CE,108.5,GBPINR23JUNE23108.5CE,GBPINR23623108.5CE,GBPINR 23JUN23 108.5 CE,23-06-2023,1,0.0025,108,5,108.5
5929,CDS,cde_fo,GBPINR,8220,OPTCUR,PE,108.5,GBPINR23JUNE23108.5PE,GBPINR23623108.5PE,GBPINR 23JUN23 108.5 PE,23-06-2023,1,0.0025,108,5,108.5
5930,CDS,cde_fo,GBPINR,8221,OPTCUR,CE,108.5,GBPINR27JUNE23108.5CE,GBPINR23JUN108.5CE,GBPINR 27JUN23 108.5 CE,27-06-2023,1,0.0025,108,5,108.5
5931,CDS,cde_fo,GBPINR,8222,OPTCUR,PE,108.5,GBPINR27JUNE23108.5PE,GBPINR23JUN108.5PE,GBPINR 27JUN23 108.5 PE,27-06-2023,1,0.0025,108,5,108.5
5932,CDS,cde_fo,EURINR,8223,OPTCUR,CE,81,EURINR27DECEMBER2381CE,EURINR23DEC81CE,EURINR 27DEC23 81 CE,27-12-2023,1,0.0025,81,,81
5933,CDS,cde_fo,EURINR,8224,OPTCUR,PE,81,EURINR27DECEMBER2381PE,EURINR23DEC81PE,EURINR 27DEC23 81 PE,27-12-2023,1,0.0025,81,,81
5934,CDS,cde_fo,EURUSD,8225,OPTCUR,CE,0.93,EURUSD27DECEMBER230.93CE,EURUSD23DEC0.93CE,EURUSD 27DEC23 0.93 CE,27-12-2023,1,0.0001,,93,.93
